400C_0004;Interrupt Event Register (ENET_EIR);32;w1c;0000_0000h; 
400C_0008;Interrupt Mask Register (ENET_EIMR);32;R/W;0000_0000h; 
400C_0010;Receive Descriptor Active Register (ENET_RDAR);32;R/W;0000_0000h; 
400C_0014;Transmit Descriptor Active Register (ENET_TDAR);32;R/W;0000_0000h; 
400C_0024;Ethernet Control Register (ENET_ECR);32;R/W;F000_0000h; 
400C_0040;MII Management Frame Register (ENET_MMFR);32;R/W;0000_0000h; 
400C_0044;MII Speed Control Register (ENET_MSCR);32;R/W;0000_0000h; 
400C_0064;MIB Control Register (ENET_MIBC);32;R/W;C000_0000h; 
400C_0084;Receive Control Register (ENET_RCR);32;R/W;05EE_0001h; 
400C_00C4;Transmit Control Register (ENET_TCR);32;R/W;0000_0000h; 
400C_00E4;Physical Address Lower Register (ENET_PALR);32;R/W;0000_0000h; 
400C_00E8;Physical Address Upper Register (ENET_PAUR);32;R/W;0000_8808h; 
400C_00EC;Opcode/Pause Duration Register (ENET_OPD) ;32;R/W;0001_0000h; 
400C_0118;Descriptor Individual Upper Address Register (ENET_IAUR) ;32;R/W;0000_0000h; 
400C_011C;Descriptor Individual Lower Address Register (ENET_IALR) ;32;R/W;0000_0000h; 
400C_0120;Descriptor Group Upper Address Register (ENET_GAUR) ;32;R/W;0000_0000h; 
400C_0124;Descriptor Group Lower Address Register (ENET_GALR) ;32;R/W;0000_0000h; 
400C_0144;Transmit FIFO Watermark Register (ENET_TFWR) ;32;R/W;0000_0000h; 
400C_0180;Receive Descriptor Ring Start Register (ENET_RDSR) ;32;R/W;0000_0000h; 
400C_0184;Transmit Buffer Descriptor Ring Start Register (ENET_TDSR) ;32;R/W;0000_0000h; 
400C_0188;Maximum Receive Buffer Size Register (ENET_MRBR)   ;32;R/W;0000_0000h; 
400C_0190;Receive FIFO Section Full Threshold (ENET_RSFL);32;R/W;0000_0000h; 
400C_0194;Receive FIFO Section Empty Threshold (ENET_RSEM) ;32;R/W;0000_0000h; 
400C_0198;Receive FIFO Almost Empty Threshold (ENET_RAEM);32;R/W;0000_0004h; 
400C_019C;Receive FIFO Almost Full Threshold (ENET_RAFL) ;32;R/W;0000_0004h; 
400C_01A0;Transmit FIFO Section Empty Threshold (ENET_TSEM) ;32;R/W;0000_0000h; 
400C_01A4;Transmit FIFO Almost Empty Threshold (ENET_TAEM);32;R/W;0000_0004h; 
400C_01A8;Transmit FIFO Almost Full Threshold (ENET_TAFL);32;R/W;0000_0008h; 
400C_01AC;Transmit Inter-Packet Gap (ENET_TIPG);32;R/W;0000_000Ch; 
400C_01B0;Frame Truncation Length (ENET_FTRL);32;R/W;0000_07FFh; 
400C_01C0;Transmit Accelerator Function Configuration (ENET_TACC);32;R/W;0000_0000h; 
400C_01C4;Receive Accelerator Function Configuration (ENET_RACC);32;R/W;0000_0000h; 
400C_0204;Tx Packet Count Statistic Register (ENET_RMON_T_PACKETS);32;R;0000_0000h; 
400C_0208;Tx Broadcast Packets Statistic Register (ENET_RMON_T_BC_PKT);32;R;0000_0000h; 
400C_020C;Tx Multicast Packets Statistic Register (ENET_RMON_T_MC_PKT);32;R;0000_0000h; 
400C_0210;Tx Packets with CRC/Align Error Statistic Register (ENET_RMON_T_CRC_ALIGN);32;R;0000_0000h; 
400C_0214;Tx Packets Less Than Bytes and Good CRC Statistic Register (ENET_RMON_T_UNDERSIZE);32;R;0000_0000h; 
400C_0218;Tx Packets GT MAX_FL bytes and Good CRC Statistic Register (ENET_RMON_T_OVERSIZE);32;R;0000_0000h; 
400C_021C;Tx Packets Less Than 64 Bytes and Bad CRC Statistic Register (ENET_RMON_T_FRAG);32;R;0000_0000h; 
400C_0220;Tx Packets Greater Than MAX_FL bytes and Bad CRC Statistic Register (ENET_RMON_T_JAB);32;R;0000_0000h; 
400C_0224;Tx Collision Count Statistic Register (ENET_RMON_T_COL);32;R;0000_0000h; 
400C_0228;Tx 64-Byte Packets Statistic Register (ENET_RMON_T_P64) ;32;R;0000_0000h; 
400C_022C;Tx 65- to 127-byte Packets Statistic Register (ENET_RMON_T_P65TO127) ;32;R;0000_0000h; 
400C_0230;Tx 128- to 255-byte Packets Statistic Register (ENET_RMON_T_P128TO255) ;32;R;0000_0000h; 
