4004_9000;Pin Control Register n (PORTA_PCR0);32;R/W ;0;
4004_9004;Pin Control Register n (PORTA_PCR1);32;R/W ;0;
4004_9008;Pin Control Register n (PORTA_PCR2);32;R/W ;0;
4004_900C;Pin Control Register n (PORTA_PCR3);32;R/W ;0;
4004_9010;Pin Control Register n (PORTA_PCR4);32;R/W ;0;
4004_9014;Pin Control Register n (PORTA_PCR5);32;R/W ;0;
4004_9018;Pin Control Register n (PORTA_PCR6);32;R/W ;0;
4004_901C;Pin Control Register n (PORTA_PCR7);32;R/W ;0;
4004_9020;Pin Control Register n (PORTA_PCR8);32;R/W ;0;
4004_9024;Pin Control Register n (PORTA_PCR9);32;R/W ;0;
4004_9028;Pin Control Register n (PORTA_PCR10);32;R/W ;0;
4004_902C;Pin Control Register n (PORTA_PCR11);32;R/W ;0;
4004_9030;Pin Control Register n (PORTA_PCR12);32;R/W ;0;
4004_9034;Pin Control Register n (PORTA_PCR13);32;R/W ;0;
4004_9038;Pin Control Register n (PORTA_PCR14);32;R/W ;0;
4004_903C;Pin Control Register n (PORTA_PCR15);32;R/W ;0;
4004_9040;Pin Control Register n (PORTA_PCR16);32;R/W ;0;
4004_9044;Pin Control Register n (PORTA_PCR17);32;R/W ;0;
4004_9048;Pin Control Register n (PORTA_PCR18);32;R/W ;0;
4004_904C;Pin Control Register n (PORTA_PCR19);32;R/W ;0;
4004_9050;Pin Control Register n (PORTA_PCR20);32;R/W ;0;
4004_9054;Pin Control Register n (PORTA_PCR21);32;R/W ;0;
4004_9058;Pin Control Register n (PORTA_PCR22);32;R/W ;0;
4004_905C;Pin Control Register n (PORTA_PCR23);32;R/W ;0;
4004_9060;Pin Control Register n (PORTA_PCR24);32;R/W ;0;
4004_9064;Pin Control Register n (PORTA_PCR25);32;R/W ;0;
4004_9068;Pin Control Register n (PORTA_PCR26);32;R/W ;0;
4004_906C;Pin Control Register n (PORTA_PCR27);32;R/W ;0;
4004_9070;Pin Control Register n (PORTA_PCR28);32;R/W ;0;
4004_9074;Pin Control Register n (PORTA_PCR29);32;R/W ;0;
4004_9078;Pin Control Register n (PORTA_PCR30);32;R/W ;0;
4004_907C;Pin Control Register n (PORTA_PCR31);32;R/W ;0;
4004_9080;Global Pin Control Low Register (PORTA_GPCLR);32;W ;0;
4004_9084;Global Pin Control High Register (PORTA_GPCHR);32;W ;0;
4004_90A0;Interrupt Status Flag Register (PORTA_ISFR);32;R/W ;0;
4004_90C0;Digital Filter Enable Register (PORTA_DFER);32;R/W ;0;
4004_90C4;Digital Filter Clock Register (PORTA_DFCR);32;R/W ;0;
4004_90C8;Digital Filter Width Register (PORTA_DFWR);32;R/W ;0;
4004_A000;Pin Control Register n (PORTB_PCR0);32;R/W ;0;
4004_A004;Pin Control Register n (PORTB_PCR1);32;R/W ;0;
4004_A008;Pin Control Register n (PORTB_PCR2);32;R/W ;0;
4004_A00C;Pin Control Register n (PORTB_PCR3);32;R/W ;0;
4004_A010;Pin Control Register n (PORTB_PCR4);32;R/W ;0;
4004_A014;Pin Control Register n (PORTB_PCR5);32;R/W ;0;
4004_A018;Pin Control Register n (PORTB_PCR6);32;R/W ;0;
4004_A01C;Pin Control Register n (PORTB_PCR7);32;R/W ;0;
4004_A020;Pin Control Register n (PORTB_PCR8);32;R/W ;0;
4004_A024;Pin Control Register n (PORTB_PCR9);32;R/W ;0;
4004_A028;Pin Control Register n (PORTB_PCR10);32;R/W ;0;
4004_A02C;Pin Control Register n (PORTB_PCR11);32;R/W ;0;
4004_A030;Pin Control Register n (PORTB_PCR12);32;R/W ;0;
4004_A034;Pin Control Register n (PORTB_PCR13);32;R/W ;0;
4004_A038;Pin Control Register n (PORTB_PCR14);32;R/W ;0;
4004_A03C;Pin Control Register n (PORTB_PCR15);32;R/W ;0;
4004_A040;Pin Control Register n (PORTB_PCR16);32;R/W ;0;
4004_A044;Pin Control Register n (PORTB_PCR17);32;R/W ;0;
4004_A048;Pin Control Register n (PORTB_PCR18);32;R/W ;0;
4004_A04C;Pin Control Register n (PORTB_PCR19);32;R/W ;0;
4004_A050;Pin Control Register n (PORTB_PCR20);32;R/W ;0;
4004_A054;Pin Control Register n (PORTB_PCR21);32;R/W ;0;
4004_A058;Pin Control Register n (PORTB_PCR22);32;R/W ;0;
4004_A05C;Pin Control Register n (PORTB_PCR23);32;R/W ;0;
4004_A060;Pin Control Register n (PORTB_PCR24);32;R/W ;0;
4004_A064;Pin Control Register n (PORTB_PCR25);32;R/W ;0;
4004_A068;Pin Control Register n (PORTB_PCR26);32;R/W ;0;
4004_A06C;Pin Control Register n (PORTB_PCR27);32;R/W ;0;
4004_A070;Pin Control Register n (PORTB_PCR28);32;R/W ;0;
4004_A074;Pin Control Register n (PORTB_PCR29);32;R/W ;0;
4004_A078;Pin Control Register n (PORTB_PCR30);32;R/W ;0;
4004_A07C;Pin Control Register n (PORTB_PCR31);32;R/W ;0;
4004_A080;Global Pin Control Low Register (PORTB_GPCLR);32;W ;0;
4004_A084;Global Pin Control High Register (PORTB_GPCHR);32;W ;0;
4004_A0A0;Interrupt Status Flag Register (PORTB_ISFR);32;R/W ;0;
4004_A0C0;Digital Filter Enable Register (PORTB_DFER);32;R/W ;0;
4004_A0C4;Digital Filter Clock Register (PORTB_DFCR);32;R/W ;0;
4004_A0C8;Digital Filter Width Register (PORTB_DFWR);32;R/W ;0;
4004_B000;Pin Control Register n (PORTC_PCR0);32;R/W ;0;
4004_B004;Pin Control Register n (PORTC_PCR1);32;R/W ;0;
