0x0000_0000;-;0;-;-;ARM core;Initial Stack Pointer
0x0000_0004;-;1;-;-;ARM core;Initial Program Counter
0x0000_0008;-;2;-;-;ARM core;Non-maskable Interrupt(NMI)
0x0000_000C;-;3;-;-;ARM core;Hard Fault
0x0000_0010;-;4;-;-;ARM core;MemManage Fault
0x0000_0014;-;5;-;-;ARM core;Bus Fault
0x0000_0018;-;6;-;-;ARM core;Usage Fault
0x0000_001C;-;7;-;-;-;-
0x0000_0020;-;8;-;-;-;-
0x0000_0024;-;9;-;-;-;-
0x0000_0028;-;10;-;-;-;-
0x0000_002C;-;11;-;-;ARM core;Supervisor call (SVCall)
0x0000_0030;-;12;-;-;ARM core;Debug Monitor
0x0000_0034;-;13;-;-;-;-
0x0000_0038;-;14;-;-;ARM core;Pendable request for system service (PendableSrvReq)
0x0000_003C;-;15;-;-;ARM core;System tick timer (SysTick)
0x0000_0040;0;16;0;0;DMA;DMA channel 0 transfer complete 
0x0000_0044;1;17;0;0;DMA;DMA channel 1 transfer complete 
0x0000_0048;2;18;0;0;DMA;DMA channel 2 transfer complete 
0x0000_004C;3;19;0;0;DMA;DMA channel 3 transfer complete 
0x0000_0050;4;20;0;1;DMA;DMA channel 4 transfer complete 
0x0000_0054;5;21;0;1;DMA;DMA channel 5 transfer complete 
0x0000_0058;6;22;0;1;DMA;DMA channel 6 transfer complete 
0x0000_005C;7;23;0;1;DMA;DMA channel 7 transfer complete 
0x0000_0060;8;24;0;2;DMA;DMA channel 8 transfer complete 
0x0000_0064;9;25;0;2;DMA;DMA channel 9 transfer complete
0x0000_0068;10;26;0;2;DMA;DMA channel 10 transfer complete
0x0000_006C;11;27;0;2;DMA;DMA channel 11 transfer complete
0x0000_0070;12;28;0;3;DMA;DMA channel 12 transfer complete
0x0000_0074;13;29;0;3;DMA;DMA channel 13 transfer complete
0x0000_0078;14;30;0;3;DMA;DMA channel 14 transfer complete
0x0000_007C;15;31;0;3;DMA;DMA channel 15 transfer complete
0x0000_0080;16;32;0;4;DMA;DMA error interrupt channels 0-15 
0x0000_0084;17;33;0;4;MCM;MCM interrupt 
0x0000_0088;18;34;0;4;Flash memory;Command complete
0x0000_008C;19;35;0;4;Flash memory;Read collision
0x0000_0090;20;36;0;5;Mode Controller;"Low-voltage detect; low-voltage warning "
0x0000_0094;21;37;0;5;LLWU;Low Leakage Wakeup 
0x0000_0098;22;38;0;5;WDOG or EWM;Both watchdog modules share this interrupt 
0x0000_009C;23;39;0;5;RNG;Randon Number Generator
0x0000_00A0;24;40;0;6;I2C0;-
0x0000_00A4;25;41;0;6;I2C1;-
0x0000_00A8;26;42;0;6;SPI0;Single interrupt vector for all sources 
0x0000_00AC;27;43;0;6;SPI1;Single interrupt vector for all sources 
0x0000_00B0;28;44;0;7;I2S0;Transmit 
0x0000_00B4;29;45;0;7; I2S0;Receive 
0x0000_00B8;30;46;0;7;-;-
0x0000_00BC;31;47;0;7;UART0;Single interrupt vector for UART status sources 
0x0000_00C0;32;48;1;8;UART0;Single interrupt vector for UART error sources 
0x0000_00C4;33;49;1;8;UART1;Single interrupt vector for UART status sources 
0x0000_00C8;34;50;1;8;UART1;Single interrupt vector for UART error sources 
0x0000_00CC;35;51;1;8;UART2;Single interrupt vector for UART status sources 
0x0000_00D0;36;52;1;9;UART2;Single interrupt vector for UART error sources 
0x0000_00D4;37;53;1;9;UART3;Single interrupt vector for UART status sources 
