4006_6000;I2C Address Register 1 (I2C0_A1);8; R/W; 00h; 51.3.1/1499
4006_6001;I2C Frequency Divider register (I2C0_F);8; R/W; 00h; 51.3.2/1499
4006_6002;I2C Control Register 1 (I2C0_C1);8; R/W; 00h; 51.3.3/1500
4006_6003;I2C Status register (I2C0_S);8;R/W; 80h; MUST CHECK
4006_6004;I2C Data I/O register (I2C0_D); 8; R/W; 00h; 
4006_6005;I2C Control Register 2 (I2C0_C2); 8; R/W; 00h;
4006_6006;I2C Programmable Input Glitch Filter register (I2C0_FLT); 8; R/W; 00h;
4006_6007;I2C Range Address register (I2C0_RA); 8; R/W; 00h; 
4006_6008;I2C SMBus Control and Status register (I2C0_SMB); 8; R/W; 00h;
4006_6009;I2C Address Register 2 (I2C0_A2); 8; R/W; C2h; 
4006_600A;I2C SCL Low Timeout Register High (I2C0_SLTH); 8; R/W; 00h;
4006_600B;I2C SCL Low Timeout Register Low (I2C0_SLTL); 8; R/W; 00h;
4006_7000;I2C Address Register 1 (I2C1_A1);8;R/W;00h;
4006_7001;I2C Frequency Divider register (I2C1_F);8;R/W;00h;
4006_7002;I2C Control Register 1 (I2C1_C1);8;R/W;00h;
4006_7003;I2C Status register (I2C1_S);8;R/W;80h; MUST CHECK
4006_7004;I2C Data I/O register (I2C1_D);8;R/W;00h;
4006_7005;I2C Control Register 2 (I2C1_C2);8;R/W;00h;
4006_7006;I2C Programmable Input Glitch Filter register (I2C1_FLT);8;R/W;00h;
4006_7007;I2C Range Address register (I2C1_RA);8;R/W;00h;
4006_7008;I2C SMBus Control and Status register (I2C1_SMB);8;R/W;00h;
4006_7009;I2C Address Register 2 (I2C1_A2);8;R/W;C2h; 
4006_700A;I2C SCL Low Timeout Register High (I2C1_SLTH);8;R/W;00h;
4006_700B;I2C SCL Low Timeout Register Low (I2C1_SLTL);8;R/W;00h;
400E_6000;I2C Address Register 1 (I2C2_A1);8;R/W;00h;
400E_6001;I2C Frequency Divider register (I2C2_F);8;R/W;00h;
400E_6002;I2C Control Register 1 (I2C2_C1);8;R/W;00h;
400E_6003;I2C Status register (I2C2_S);8;R/W;80h; MUST CHECK
400E_6004;I2C Data I/O register (I2C2_D);8;R/W;00h;
400E_6005;I2C Control Register 2 (I2C2_C2);8;R/W;00h;
400E_6006;I2C Programmable Input Glitch Filter register (I2C2_FLT);8;R/W;00h;
400E_6007;I2C Range Address register (I2C2_RA);8;R/W;00h;
400E_6008;I2C SMBus Control and Status register (I2C2_SMB);8;R/W;00h;
400E_6009;I2C Address Register 2 (I2C2_A2); 8; R/W; C2h;51.3.10/ 1509
400E_600A;I2C SCL Low Timeout Register High (I2C2_SLTH); 8; R/W; 00h;51.3.11/ 1509
400E_600B;I2C SCL Low Timeout Register Low (I2C2_SLTL); 8; R/W; 00h;51.3.12/ 
====
I2Cx_A1 field descriptions;
7-1 AD[7:1];Address
;Contains the primary slave address used by the I2C module when it is addressed as a slave. This field is used in the 7-bit address scheme and the lower seven bits in the 10-bit address scheme.
0 Reserved; This field is reserved.
;This read-only field is reserved and always has the value 0.

I2Cx_F field descriptions;
7-6 MULT;Multiplier Factor
;Defines the multiplier factor (mul). This factor is used along with the SCL divider to generate the I2C baud rate.
;00; mul = 1
;01; mul = 2 
;10; mul = 4 
;11; Reserved
5-0 ICR;ClockRate
;Prescales the I2C module clock for bit rate selection. This field and the MULT field determine the I2C baud rate, the SDA hold time, the SCL start hold time, and the SCL stop hold time. For a list of values corresponding to each ICR setting, see I2C divider and hold values.
;The SCL divider multiplied by multiplier factor (mul) determines the I2C baud rate.
;I2C baud rate = I2C module clock speed (Hz)/(mul × SCL divider)
;The SDA hold time is the delay from the falling edge of SCL (I2C clock) to the changing of SDA (I2C data).
;SDA hold time = I2C module clock period (s) × mul × SDA hold value
;The SCL start hold time is the delay from the falling edge of SDA (I2C data) while SCL is high (start condition) to the falling edge of SCL (I2C clock).
;SCL start hold time = I2C module clock period (s) × mul × SCL start hold value
;The SCL stop hold time is the delay from the rising edge of SCL (I2C clock) to the rising edge of SDA (I2C data) while SCL is high (stop condition).
;SCL stop hold time = I2C module clock period (s) × mul × SCL stop hold value
;For example, if the I2C module clock speed is 8 MHz, the following table shows the possible hold time values with different ICR and MULT selections to achieve an I2C baud rate of 100 kbit/s.

I2Cx_C1 field descriptions;
7 IICEN;I2C Enable
;Enables I2C module operation.
;0; Disabled 
;1; Enabled
6 IICIE;I2C Interrupt Enable
;Enables I2C interrupt requests.
;0; Disabled 
;1; Enabled
5 MST;Master Mode Select
;When MST is changed from 0 to 1, a START signal is generated on the bus and master mode is selected. When this bit changes from 1 to 0, a STOP signal is generated and the mode of operation changes from master to slave.
;0; Slave mode
;1; Master mode
4 TX; Mode Select
;0; Receive 
;1; Transmit
3 TXAK;Transmit Acknowledge Enable
;Specifies the value driven onto the SDA during data acknowledge cycles for both master and slave receivers. The value of SMB[FACK] affects NACK/ACK generation.
;NOTE: SCL is held low until TXAK is written.
;0; An acknowledge signal is sent to the bus on the following receiving byte (if FACK is cleared) or the current receiving byte (if FACK is set).
;1; No acknowledge signal is sent to the bus on the following receiving data byte (if FACK is cleared) or the current receiving data byte (if FACK is set).
2 RSTA;Repeat START
;Writing 1 to this bit generates a repeated START condition provided it is the current master. This bit will always be read as 0. Attempting a repeat at the wrong time results in loss of arbitration.
1 WUEN;Wakeup Enable
;The I2C module can wake the MCU from low power mode with no peripheral bus running when slave address matching occurs.
;0; Normal operation. No interrupt generated when address matching in low power mode.
;1; Enables the wakeup function in low power mode.
0 DMAEN;DMA Enable
;Enables or disables the DMA function.
;0; All DMA signalling disabled.
;1;DMA transfer is enabled. While SMB[FACK] = 0, the following conditions trigger the DMA request:• a data byte is received, and either address or data is transmitted. (ACK/NACK is automatic)• the first byte received matches the A1 register or is a general call address.If any address matching occurs, S[IAAS] and S[TCF] are set. If the direction of transfer is known from master to slave, then it is not required to check S[SRW]. With this assumption, DMA can also be used in this case. In other cases, if the master reads data from the slave, then it is required to rewrite the C1 register operation. With this assumption, DMA cannot be used.When FACK = 1, an address or a data byte is transmitted.

I2Cx_S field descriptions;
7 TCF;Transfer Complete Flag
;Acknowledges a byte transfer, TCF sets on the completion of a byte transfer. This bit is valid only during or immediately following a transfer to or from the I2C module. TCF is cleared by reading the I2C data register in receive mode or by writing to the I2C data register in transmit mode.
;0; Transfer in progress
;1; Transfer complete
6 IAAS;Addressed As A Slave
;This bit is set by one of the following conditions:
;• The calling address matches the programmed primary slave address in the A1 register, or matches the range address in the RA register (which must be set to a nonzero value and under the condition I2C_C2[RMEN] = 1).
;• C2[GCAEN] is set and a general call is received.
;• SMB[SIICAEN] is set and the calling address matches the second programmed slave address.
;• ALERTEN is set and an SMBus alert response address is received
;• RMEN is set and an address is received that is within the range between the values of the A1 and RA registers.
;IAAS sets before the ACK bit. The CPU must check the SRW bit and set TX/RX accordingly. Writing the C1 register with any value clears this bit.
;0; Not addressed
;1; Addressed as a slave
5 BUSY;Bus Busy
;Indicates the status of the bus regardless of slave or master mode. This bit is set when a START signal is detected and cleared when a STOP signal is detected.
;0; Bus is idle
;1; Bus is busy
4 ARBL;Arbitration Lost
